Price,Address,homeType,beds,baths,sq_feet,Status,Link,Unit Count
"$1,380+/mo","4414 Montebello Dr, Colorado Springs, CO",--,2,1,805,FOR_RENT,www.zillow.com//b/montebello-gardens-colorado-springs-co-5XhvgR/,4
"$1,630+/mo","2205 Willow Tree Grv, Colorado Springs, CO",--,1,1,637,FOR_RENT,www.zillow.com//b/the-willows-at-printers-park-apartments-colorado-springs-co-5XhvtG/,6
"$1,050+/mo","425-431 E Willamette Ave, Colorado Springs, CO",--,2,1,784,FOR_RENT,"www.zillow.com//b/Downtown-Square-Colorado-Springs-CO/38.842194,-104.820722_ll/",4
$850+/mo,"423 N Wahsatch Ave, Colorado Springs, CO",--,0,1,650,FOR_RENT,www.zillow.com//b/423-n-wahsatch-ave-colorado-springs-co-5fwzpL/,2
"$2,695/mo",920-Royal-Crown-Ln-Colorado-Springs-CO-80906,SINGLE_FAMILY,4,3.5,2538,FOR_RENT,www.zillow.com//homedetails/920-Royal-Crown-Ln-Colorado-Springs-CO-80906/13637971_zpid/,--
"$2,225/mo",3631-Lehigh-St-Colorado-Springs-CO-80909,SINGLE_FAMILY,4,2,1802,FOR_RENT,www.zillow.com//homedetails/3631-Lehigh-St-Colorado-Springs-CO-80909/108401172_zpid/,--
"$1,050+/mo","720 Melany Ln, Colorado Springs, CO",--,2,1,875,FOR_RENT,www.zillow.com//b/foothills-west-colorado-springs-co-5Yy992/,4
"$1,371+/mo",609-S-Cascade-Ave-J7KAKKKNF-Colorado-Springs-CO-80903,APARTMENT,0,1,,FOR_RENT,www.zillow.com//homedetails/609-S-Cascade-Ave-J7KAKKKNF-Colorado-Springs-CO-80903/2078574554_zpid/,--
"$2,075/mo",1314-Royale-Dr-Colorado-Springs-CO-80910,SINGLE_FAMILY,4,2,2188,FOR_RENT,www.zillow.com//homedetails/1314-Royale-Dr-Colorado-Springs-CO-80910/13619622_zpid/,--
"$2,500/mo",306-Elmwood-Dr-Colorado-Springs-CO-80907,SINGLE_FAMILY,5,3,1292,FOR_RENT,www.zillow.com//homedetails/306-Elmwood-Dr-Colorado-Springs-CO-80907/13591369_zpid/,--
$970/mo,2005-S-El-Paso-Ave-47-Colorado-Springs-CO-80905,APARTMENT,1,1,532,FOR_RENT,www.zillow.com//homedetails/2005-S-El-Paso-Ave-47-Colorado-Springs-CO-80905/2077499612_zpid/,--
"$1,150+/mo","1698 Lenmar Dr, Colorado Springs, CO",--,1,1,560,FOR_RENT,www.zillow.com//b/sienna-place-colorado-springs-co-B6gFyG/,2
"$1,300+/mo",2720-Mirage-Dr-T0305H3P6-Colorado-Springs-CO-80920,APARTMENT,1,1,800,FOR_RENT,www.zillow.com//homedetails/2720-Mirage-Dr-T0305H3P6-Colorado-Springs-CO-80920/2078873513_zpid/,--
"$1,770+/mo","650 McChord St, Colorado Springs, CO",--,3,2,1094,FOR_RENT,www.zillow.com//b/tvc-peterson-afb-colorado-springs-co-5ZhC9c/,10
"$1,950+/mo",4801-Pacer-Ln-JN3CKZ52Y-Colorado-Springs-CO-80917,APARTMENT,3,2,1130,FOR_RENT,www.zillow.com//homedetails/4801-Pacer-Ln-JN3CKZ52Y-Colorado-Springs-CO-80917/2085133630_zpid/,--
"$1,255+/mo","640 Wycliffe Dr, Colorado Springs, CO",--,1,1,460,FOR_RENT,www.zillow.com//b/cheyenne-crossing-colorado-springs-co-5XhvSj/,2
$950+/mo,"1220 Potter Dr, Colorado Springs, CO",--,1,1,,FOR_RENT,www.zillow.com//b/vista-peak-colorado-springs-co-5Xt942/,3
"$1,340+/mo",3562-Lenoso-Ter-29329-Colorado-Springs-CO-80910,APARTMENT,2,1.5,985,FOR_RENT,www.zillow.com//homedetails/3562-Lenoso-Ter-29329-Colorado-Springs-CO-80910/2078904367_zpid/,--
$865+/mo,805-S-Circle-Dr-98HF7GKRK-Colorado-Springs-CO-80910,APARTMENT,1,1,500,FOR_RENT,www.zillow.com//homedetails/805-S-Circle-Dr-98HF7GKRK-Colorado-Springs-CO-80910/2091798567_zpid/,--
$850+/mo,"223-319 University Dr, Colorado Springs, CO",--,1,1,675,FOR_RENT,www.zillow.com//b/westview-colorado-springs-co-BMvkvw/,4
$805+/mo,"175 N Murray Blvd, Colorado Springs, CO",--,1,1,610,FOR_RENT,www.zillow.com//b/one-75-north-colorado-springs-co-5XhvhF/,3
